,Source,Sink,Time,Value
280,VT,RI,17,0.0
281,VT,RI,18,0.0
282,VT,RI,19,0.0
283,VT,RI,20,0.0
284,VT,RI,21,0.0
285,VT,RI,22,0.0
286,VT,RI,23,0.0
287,VT,RI,24,0.0
288,VT,NH,1,0.0
289,VT,NH,2,2263.918315377946
290,VT,NH,3,2282.7360352626333
291,VT,NH,4,2288.94788658156
292,VT,NH,5,2288.3850109915334
293,VT,NH,6,2279.0481580707105
294,VT,NH,7,0.0
295,VT,NH,8,2228.0579159492045
296,VT,NH,9,2481.576504648904
297,VT,NH,10,0.0
298,VT,NH,11,0.0
299,VT,NH,12,0.0
300,VT,NH,13,0.0
301,VT,NH,14,0.0
302,VT,NH,15,2644.4771515804923
303,VT,NH,16,0.0
304,VT,NH,17,0.0
305,VT,NH,18,0.0
306,VT,NH,19,0.0
307,VT,NH,20,0.0
308,VT,NH,21,0.0
309,VT,NH,22,0.0
310,VT,NH,23,0.0
311,VT,NH,24,0.0
312,VT,CT,1,0.0
313,VT,CT,2,0.0
314,VT,CT,3,0.0
315,VT,CT,4,0.0
316,VT,CT,5,0.0
317,VT,CT,6,0.0
318,VT,CT,7,0.0
319,VT,CT,8,0.0
320,VT,CT,9,0.0
321,VT,CT,10,0.0
322,VT,CT,11,0.0
323,VT,CT,12,0.0
324,VT,CT,13,0.0
325,VT,CT,14,0.0
326,VT,CT,15,0.0
327,VT,CT,16,0.0
328,VT,CT,17,0.0
329,VT,CT,18,0.0
330,VT,CT,19,0.0
331,VT,CT,20,0.0
332,VT,CT,21,0.0
333,VT,CT,22,0.0
334,VT,CT,23,0.0
335,VT,CT,24,0.0
336,VT,NEMA,1,0.0
337,VT,NEMA,2,0.0
338,VT,NEMA,3,0.0
339,VT,NEMA,4,0.0
340,VT,NEMA,5,0.0
341,VT,NEMA,6,0.0
342,VT,NEMA,7,0.0
343,VT,NEMA,8,0.0
344,VT,NEMA,9,0.0
345,VT,NEMA,10,0.0
346,VT,NEMA,11,0.0
347,VT,NEMA,12,0.0
348,VT,NEMA,13,0.0
349,VT,NEMA,14,0.0
350,VT,NEMA,15,0.0
351,VT,NEMA,16,0.0
352,VT,NEMA,17,0.0
353,VT,NEMA,18,0.0
354,VT,NEMA,19,0.0
355,VT,NEMA,20,0.0
356,VT,NEMA,21,0.0
357,VT,NEMA,22,0.0
358,VT,NEMA,23,0.0
359,VT,NEMA,24,0.0
360,VT,ME,1,0.0
361,VT,ME,2,0.0
362,VT,ME,3,0.0
363,VT,ME,4,0.0
364,VT,ME,5,0.0
365,VT,ME,6,0.0
366,VT,ME,7,0.0
367,VT,ME,8,0.0
368,VT,ME,9,0.0
369,VT,ME,10,0.0
370,VT,ME,11,0.0
371,VT,ME,12,0.0
372,VT,ME,13,0.0
373,VT,ME,14,0.0
374,VT,ME,15,0.0
375,VT,ME,16,0.0
376,VT,ME,17,0.0
377,VT,ME,18,0.0
378,VT,ME,19,0.0
379,VT,ME,20,0.0
380,VT,ME,21,0.0
381,VT,ME,22,0.0
382,VT,ME,23,0.0
383,VT,ME,24,0.0
384,WCMA,SEMA,1,0.0
385,WCMA,SEMA,2,0.0
386,WCMA,SEMA,3,0.0
387,WCMA,SEMA,4,0.0
388,WCMA,SEMA,5,0.0
389,WCMA,SEMA,6,0.0
390,WCMA,SEMA,7,0.0
391,WCMA,SEMA,8,0.0
392,WCMA,SEMA,9,0.0
393,WCMA,SEMA,10,0.0
394,WCMA,SEMA,11,0.0
395,WCMA,SEMA,12,0.0
396,WCMA,SEMA,13,0.0
397,WCMA,SEMA,14,0.0
398,WCMA,SEMA,15,0.0
399,WCMA,SEMA,16,0.0
400,WCMA,SEMA,17,0.0
401,WCMA,SEMA,18,0.0
402,WCMA,SEMA,19,0.0
403,WCMA,SEMA,20,0.0
404,WCMA,SEMA,21,0.0
405,WCMA,SEMA,22,0.0
406,WCMA,SEMA,23,0.0
407,WCMA,SEMA,24,0.0
408,WCMA,VT,1,0.0
409,WCMA,VT,2,2700.0
410,WCMA,VT,3,2700.0
411,WCMA,VT,4,2700.0
412,WCMA,VT,5,2700.0
413,WCMA,VT,6,2700.0
414,WCMA,VT,7,0.0
415,WCMA,VT,8,2700.0
416,WCMA,VT,9,2700.0
417,WCMA,VT,10,0.0
418,WCMA,VT,11,0.0
419,WCMA,VT,12,0.0
420,WCMA,VT,13,0.0
421,WCMA,VT,14,0.0
422,WCMA,VT,15,2700.0
423,WCMA,VT,16,0.0
424,WCMA,VT,17,0.0
425,WCMA,VT,18,0.0
426,WCMA,VT,19,0.0
427,WCMA,VT,20,0.0
428,WCMA,VT,21,0.0
429,WCMA,VT,22,0.0
430,WCMA,VT,23,0.0
431,WCMA,VT,24,0.0
432,WCMA,WCMA,1,0.0
433,WCMA,WCMA,2,0.0
434,WCMA,WCMA,3,0.0
435,WCMA,WCMA,4,0.0
436,WCMA,WCMA,5,0.0
437,WCMA,WCMA,6,0.0
438,WCMA,WCMA,7,0.0
439,WCMA,WCMA,8,0.0
440,WCMA,WCMA,9,0.0
441,WCMA,WCMA,10,0.0
442,WCMA,WCMA,11,0.0
443,WCMA,WCMA,12,0.0
444,WCMA,WCMA,13,0.0
445,WCMA,WCMA,14,0.0
446,WCMA,WCMA,15,0.0
447,WCMA,WCMA,16,0.0
448,WCMA,WCMA,17,0.0
449,WCMA,WCMA,18,0.0
450,WCMA,WCMA,19,0.0
451,WCMA,WCMA,20,0.0
452,WCMA,WCMA,21,0.0
453,WCMA,WCMA,22,0.0
454,WCMA,WCMA,23,0.0
455,WCMA,WCMA,24,0.0
456,WCMA,RI,1,0.0
457,WCMA,RI,2,0.0
458,WCMA,RI,3,0.0
459,WCMA,RI,4,0.0
460,WCMA,RI,5,0.0
461,WCMA,RI,6,0.0
462,WCMA,RI,7,0.0
463,WCMA,RI,8,0.0
464,WCMA,RI,9,0.0
465,WCMA,RI,10,0.0
466,WCMA,RI,11,0.0
467,WCMA,RI,12,0.0
468,WCMA,RI,13,3400.0
469,WCMA,RI,14,3400.0
470,WCMA,RI,15,3400.0
471,WCMA,RI,16,0.0
472,WCMA,RI,17,0.0
473,WCMA,RI,18,0.0
474,WCMA,RI,19,0.0
475,WCMA,RI,20,0.0
476,WCMA,RI,21,0.0
477,WCMA,RI,22,3374.916507733083
478,WCMA,RI,23,3344.076991310234
479,WCMA,RI,24,3400.0
480,WCMA,NH,1,2700.0
481,WCMA,NH,2,0.0
482,WCMA,NH,3,0.0
483,WCMA,NH,4,0.0
484,WCMA,NH,5,0.0
485,WCMA,NH,6,0.0
486,WCMA,NH,7,2700.0
487,WCMA,NH,8,0.0
488,WCMA,NH,9,0.0
489,WCMA,NH,10,2700.0
490,WCMA,NH,11,2700.0
491,WCMA,NH,12,2700.0
492,WCMA,NH,13,2700.0
493,WCMA,NH,14,2700.0
494,WCMA,NH,15,0.0
495,WCMA,NH,16,2700.0
496,WCMA,NH,17,2700.0
497,WCMA,NH,18,2700.0
498,WCMA,NH,19,2557.1724280323197
499,WCMA,NH,20,2700.0
500,WCMA,NH,21,2700.0
501,WCMA,NH,22,2700.0
502,WCMA,NH,23,2700.0
503,WCMA,NH,24,2700.0
504,WCMA,CT,1,0.0
505,WCMA,CT,2,0.0
506,WCMA,CT,3,2772.8823141480834
507,WCMA,CT,4,2717.863463787152
508,WCMA,CT,5,2715.4934204806914
509,WCMA,CT,6,2776.320696594327
510,WCMA,CT,7,0.0
511,WCMA,CT,8,0.0
512,WCMA,CT,9,0.0
513,WCMA,CT,10,0.0
514,WCMA,CT,11,0.0
515,WCMA,CT,12,0.0
516,WCMA,CT,13,0.0
517,WCMA,CT,14,0.0
