,Source,Sink,Time,Value
250,NH,NEMA,11,1514.4054000000008
251,NH,NEMA,12,2196.7454000000002
252,NH,NEMA,13,1662.5054000000016
253,NH,NEMA,14,2300.8054
254,NH,NEMA,15,1612.4053999999987
255,NH,NEMA,16,1544.3494100000014
256,NH,NEMA,17,2555.502191000006
257,NH,NEMA,18,2943.8262425600014
258,NH,NEMA,19,3085.515607999996
259,NH,NEMA,20,2602.9053999999996
260,NH,NEMA,21,2650.6195000000016
261,NH,NEMA,22,2949.6053999999986
262,NH,NEMA,23,2193.3053999999997
263,NH,NEMA,24,1862.129500000001
264,NH,ME,1,0.0
265,NH,ME,2,0.0
266,NH,ME,3,0.0
267,NH,ME,4,0.0
268,NH,ME,5,0.0
269,NH,ME,6,0.0
270,NH,ME,7,0.0
271,NH,ME,8,0.0
272,NH,ME,9,0.0
273,NH,ME,10,0.0
274,NH,ME,11,0.0
275,NH,ME,12,0.0
276,NH,ME,13,0.0
277,NH,ME,14,0.0
278,NH,ME,15,0.0
279,NH,ME,16,0.0
280,NH,ME,17,0.0
281,NH,ME,18,0.0
282,NH,ME,19,0.0
283,NH,ME,20,0.0
284,NH,ME,21,0.0
285,NH,ME,22,0.0
286,NH,ME,23,0.0
287,NH,ME,24,0.0
288,NH,RI,1,0.0
289,NH,RI,2,0.0
290,NH,RI,3,0.0
291,NH,RI,4,0.0
292,NH,RI,5,0.0
293,NH,RI,6,0.0
294,NH,RI,7,0.0
295,NH,RI,8,0.0
296,NH,RI,9,0.0
297,NH,RI,10,0.0
298,NH,RI,11,0.0
299,NH,RI,12,0.0
300,NH,RI,13,0.0
301,NH,RI,14,0.0
302,NH,RI,15,0.0
303,NH,RI,16,0.0
304,NH,RI,17,0.0
305,NH,RI,18,0.0
306,NH,RI,19,0.0
307,NH,RI,20,0.0
308,NH,RI,21,0.0
309,NH,RI,22,0.0
310,NH,RI,23,0.0
311,NH,RI,24,0.0
312,NH,CT,1,0.0
313,NH,CT,2,0.0
314,NH,CT,3,0.0
315,NH,CT,4,0.0
316,NH,CT,5,0.0
317,NH,CT,6,0.0
318,NH,CT,7,0.0
319,NH,CT,8,0.0
320,NH,CT,9,0.0
321,NH,CT,10,0.0
322,NH,CT,11,0.0
323,NH,CT,12,0.0
324,NH,CT,13,0.0
325,NH,CT,14,0.0
326,NH,CT,15,0.0
327,NH,CT,16,0.0
328,NH,CT,17,0.0
329,NH,CT,18,0.0
330,NH,CT,19,0.0
331,NH,CT,20,0.0
332,NH,CT,21,0.0
333,NH,CT,22,0.0
334,NH,CT,23,0.0
335,NH,CT,24,0.0
336,NH,VT,1,3068.25
337,NH,VT,2,0.0
338,NH,VT,3,3040.2749999999996
339,NH,VT,4,3037.125
340,NH,VT,5,0.0
341,NH,VT,6,3043.8
342,NH,VT,7,3040.6499999999996
343,NH,VT,8,0.0
344,NH,VT,9,3084.45
345,NH,VT,10,3093.075
346,NH,VT,11,3095.3999999999996
347,NH,VT,12,2448.7741
348,NH,VT,13,3003.4140999999995
349,NH,VT,14,3087.375
350,NH,VT,15,3042.9141000000022
351,NH,VT,16,3111.6000000000004
352,NH,VT,17,3110.3173089999955
353,NH,VT,18,2636.7741
354,NH,VT,19,2573.9741
355,NH,VT,20,3163.2
356,NH,VT,21,3173.3999999999996
357,NH,VT,22,3010.277600000003
358,NH,VT,23,3094.8
359,NH,VT,24,3069.45
360,NH,SEMA,1,0.0
361,NH,SEMA,2,0.0
362,NH,SEMA,3,0.0
363,NH,SEMA,4,0.0
364,NH,SEMA,5,0.0
365,NH,SEMA,6,0.0
366,NH,SEMA,7,0.0
