,Generator,Time,Value,Zones
356,CPVTowanticEnergyCenterCTG1,21,280.5,CT
357,CPVTowanticEnergyCenterCTG1,22,280.5,CT
358,CPVTowanticEnergyCenterCTG1,23,280.5,CT
359,CPVTowanticEnergyCenterCTG1,24,280.5,CT
360,BridgeportEnergyProjectGEN1,1,68.0,CT
361,BridgeportEnergyProjectGEN1,2,68.0,CT
362,BridgeportEnergyProjectGEN1,3,68.0,CT
363,BridgeportEnergyProjectGEN1,4,68.0,CT
364,BridgeportEnergyProjectGEN1,5,68.0,CT
365,BridgeportEnergyProjectGEN1,6,68.0,CT
366,BridgeportEnergyProjectGEN1,7,34.0,CT
367,BridgeportEnergyProjectGEN1,8,34.0,CT
368,BridgeportEnergyProjectGEN1,9,34.0,CT
369,BridgeportEnergyProjectGEN1,10,34.0,CT
370,BridgeportEnergyProjectGEN1,11,34.0,CT
371,BridgeportEnergyProjectGEN1,12,34.0,CT
372,BridgeportEnergyProjectGEN1,13,34.0,CT
373,BridgeportEnergyProjectGEN1,14,34.0,CT
374,BridgeportEnergyProjectGEN1,15,34.0,CT
375,BridgeportEnergyProjectGEN1,16,34.0,CT
376,BridgeportEnergyProjectGEN1,17,34.0,CT
377,BridgeportEnergyProjectGEN1,18,0.0,CT
378,BridgeportEnergyProjectGEN1,19,34.0,CT
379,BridgeportEnergyProjectGEN1,20,0.0,CT
380,BridgeportEnergyProjectGEN1,21,34.0,CT
381,BridgeportEnergyProjectGEN1,22,34.0,CT
382,BridgeportEnergyProjectGEN1,23,34.0,CT
383,BridgeportEnergyProjectGEN1,24,34.0,CT
384,LNG12LNG2,1,2.6,CT
385,LNG12LNG2,2,2.6,CT
386,LNG12LNG2,3,2.6,CT
387,LNG12LNG2,4,2.6,CT
388,LNG12LNG2,5,2.6,CT
389,LNG12LNG2,6,2.6,CT
390,LNG12LNG2,7,2.6,CT
391,LNG12LNG2,8,2.6,CT
392,LNG12LNG2,9,2.6,CT
393,LNG12LNG2,10,2.6,CT
394,LNG12LNG2,11,2.6,CT
395,LNG12LNG2,12,2.6,CT
396,LNG12LNG2,13,2.6,CT
397,LNG12LNG2,14,2.6,CT
398,LNG12LNG2,15,2.6,CT
399,LNG12LNG2,16,2.6,CT
400,LNG12LNG2,17,2.6,CT
401,LNG12LNG2,18,2.6,CT
402,LNG12LNG2,19,2.6,CT
403,LNG12LNG2,20,2.6,CT
404,LNG12LNG2,21,2.6,CT
405,LNG12LNG2,22,2.6,CT
406,LNG12LNG2,23,2.6,CT
407,LNG12LNG2,24,2.6,CT
408,DevonStation8,1,103.5,CT
409,DevonStation8,2,103.5,CT
410,DevonStation8,3,103.5,CT
411,DevonStation8,4,103.5,CT
412,DevonStation8,5,103.5,CT
413,DevonStation8,6,103.5,CT
414,DevonStation8,7,103.5,CT
415,DevonStation8,8,103.5,CT
416,DevonStation8,9,103.5,CT
417,DevonStation8,10,103.5,CT
418,DevonStation8,11,103.5,CT
419,DevonStation8,12,103.5,CT
420,DevonStation8,13,103.5,CT
421,DevonStation8,14,103.5,CT
422,DevonStation8,15,103.5,CT
423,DevonStation8,16,103.5,CT
424,DevonStation8,17,103.5,CT
